ticket_id,opened_at,resolved_at,category,subcategory,service,ci,priority,assignment_group,short_description,mttr_minutes
INC202600064,2025-12-07 17:00:00,2025-12-07 20:25:00,End User Computing,VDI,VDI Platform,CI-VDI-POOL-01,P3,End User Computing Ops,VDI related issue reported by user,205
INC202600065,2026-01-21 12:00:00,2026-01-21 12:43:00,Business Apps,HRIS,HRIS,CI-HRIS-01,P3,Business Apps Ops,HRIS related issue reported by user,43
INC202600066,2025-11-12 18:00:00,2025-11-12 19:55:00,Identity & Access,MFA,MFA Platform,CI-MFA-01,P1,Identity & Access Ops,MFA related issue reported by user,115
INC202600067,2025-11-17 18:00:00,2025-11-17 20:51:00,Collaboration,Email,Email Service,CI-MAIL-01,P3,Collaboration Ops,Email related issue reported by user,171
INC202600068,2025-12-25 16:00:00,2025-12-25 19:26:00,Network,VPN,VPN Service,CI-VPN-GW-01,P2,Network Ops,VPN related issue reported by user,206
INC202600069,2025-11-20 16:00:00,2025-11-20 17:07:00,Network,WiFi,Corporate WiFi,CI-WIFI-CTRL-02,P3,Network Ops,WiFi related issue reported by user,67
INC202600070,2025-12-26 10:00:00,2025-12-26 13:53:00,Network,WiFi,Corporate WiFi,CI-WIFI-CTRL-02,P3,Network Ops,WiFi related issue reported by user,233
INC202600071,2025-11-06 13:00:00,2025-11-06 13:56:00,End User Computing,VDI,VDI Platform,CI-VDI-POOL-01,P3,End User Computing Ops,VDI related issue reported by user,56
INC202600072,2025-12-16 16:00:00,2025-12-16 17:30:00,Identity & Access,Password Reset,Password Services,CI-PWD-01,P3,Identity & Access Ops,Password Reset related issue reported by user,90
INC202600073,2025-11-21 10:00:00,2025-11-21 11:55:00,Identity & Access,SSO,SSO Platform,CI-SSO-01,P2,Identity & Access Ops,SSO related issue reported by user,115
INC202600074,2025-12-23 18:00:00,2025-12-23 21:51:00,Security,Phishing,Security Awareness,CI-SEC-AWARE-01,P3,Security Ops,Phishing related issue reported by user,231
INC202600075,2026-01-29 09:00:00,2026-01-29 10:26:00,Identity & Access,SSO,SSO Platform,CI-SSO-01,P4,Identity & Access Ops,SSO related issue reported by user,86
INC202600076,2025-11-26 15:00:00,2025-11-26 16:28:00,Collaboration,Teams/Zoom,Collaboration Suite,CI-COLLAB-01,P4,Collaboration Ops,Teams/Zoom related issue reported by user,88
INC202600077,2025-11-29 08:00:00,2025-11-29 09:41:00,Security,Phishing,Security Awareness,CI-SEC-AWARE-01,P3,Security Ops,Phishing related issue reported by user,101
INC202600078,2025-11-09 12:00:00,2025-11-09 15:23:00,Collaboration,Calendar,Calendar Service,CI-CAL-01,P3,Collaboration Ops,Calendar related issue reported by user,203
INC202600079,2026-01-08 13:00:00,2026-01-08 14:36:00,Network,VPN,VPN Service,CI-VPN-GW-01,P4,Network Ops,VPN related issue reported by user,96
INC202600080,2025-11-23 17:00:00,2025-11-23 19:21:00,Collaboration,Email,Email Service,CI-MAIL-01,P2,Collaboration Ops,Email related issue reported by user,141
INC202600081,2025-12-15 13:00:00,2025-12-15 13:59:00,Identity & Access,Password Reset,Password Services,CI-PWD-01,P4,Identity & Access Ops,Password Reset related issue reported by user,59
INC202600082,2025-12-20 17:00:00,2025-12-20 19:21:00,End User Computing,Printers,Print Services,CI-PRINT-SRV-03,P1,End User Computing Ops,Printers related issue reported by user,141
INC202600083,2025-11-01 16:00:00,2025-11-01 19:39:00,Business Apps,CRM,CRM,CI-CRM-01,P3,Business Apps Ops,CRM related issue reported by user,219
INC202600084,2026-01-25 11:00:00,2026-01-25 14:20:00,Collaboration,Teams/Zoom,Collaboration Suite,CI-COLLAB-01,P2,Collaboration Ops,Teams/Zoom related issue reported by user,200
INC202600085,2025-12-13 17:00:00,2025-12-13 20:34:00,Collaboration,Calendar,Calendar Service,CI-CAL-01,P4,Collaboration Ops,Calendar related issue reported by user,214
INC202600086,2025-12-09 16:00:00,2025-12-09 18:13:00,Collaboration,Calendar,Calendar Service,CI-CAL-01,P3,Collaboration Ops,Calendar related issue reported by user,133
INC202600087,2026-01-29 12:00:00,2026-01-29 15:20:00,Business Apps,ERP,ERP,CI-ERP-01,P2,Business Apps Ops,ERP related issue reported by user,200
INC202600088,2025-12-19 18:00:00,2025-12-19 19:47:00,Security,Phishing,Security Awareness,CI-SEC-AWARE-01,P3,Security Ops,Phishing related issue reported by user,107
INC202600089,2025-12-22 16:00:00,2025-12-22 18:20:00,Network,WiFi,Corporate WiFi,CI-WIFI-CTRL-02,P3,Network Ops,WiFi related issue reported by user,140
INC202600090,2026-01-14 17:00:00,2026-01-14 19:23:00,Security,EDR Alerts,EDR Platform,CI-EDR-01,P3,Security Ops,EDR Alerts related issue reported by user,143
INC202600091,2026-01-26 11:00:00,2026-01-26 14:53:00,Business Apps,HRIS,HRIS,CI-HRIS-01,P3,Business Apps Ops,HRIS related issue reported by user,233
INC202600092,2025-11-22 18:00:00,2025-11-22 21:12:00,Network,WiFi,Corporate WiFi,CI-WIFI-CTRL-02,P3,Network Ops,WiFi related issue reported by user,192
INC202600093,2026-01-19 13:00:00,2026-01-19 14:27:00,Network,VPN,VPN Service,CI-VPN-GW-01,P3,Network Ops,VPN related issue reported by user,87
INC202600094,2025-11-26 10:00:00,2025-11-26 12:31:00,Network,VPN,VPN Service,CI-VPN-GW-01,P3,Network Ops,VPN related issue reported by user,151
INC202600095,2026-01-18 09:00:00,2026-01-18 11:57:00,Identity & Access,MFA,MFA Platform,CI-MFA-01,P4,Identity & Access Ops,MFA related issue reported by user,177
INC202600096,2025-11-25 14:00:00,2025-11-25 17:17:00,Identity & Access,MFA,MFA Platform,CI-MFA-01,P3,Identity & Access Ops,MFA related issue reported by user,197
INC202600097,2026-01-28 08:00:00,2026-01-28 11:55:00,Network,WiFi,Corporate WiFi,CI-WIFI-CTRL-02,P3,Network Ops,WiFi related issue reported by user,235
INC202600098,2026-01-29 16:00:00,2026-01-29 17:01:00,Identity & Access,SSO,SSO Platform,CI-SSO-01,P3,Identity & Access Ops,SSO related issue reported by user,61
INC202600099,2025-12-29 10:00:00,2025-12-29 12:53:00,Identity & Access,Password Reset,Password Services,CI-PWD-01,P3,Identity & Access Ops,Password Reset related issue reported by user,173
INC202600100,2026-01-16 13:00:00,2026-01-16 15:39:00,Identity & Access,Password Reset,Password Services,CI-PWD-01,P4,Identity & Access Ops,Password Reset related issue reported by user,159
INC202600101,2025-12-25 16:00:00,2025-12-25 18:31:00,Identity & Access,SSO,SSO Platform,CI-SSO-01,P3,Identity & Access Ops,SSO related issue reported by user,151
INC202600102,2025-12-28 12:00:00,2025-12-28 15:49:00,End User Computing,VDI,VDI Platform,CI-VDI-POOL-01,P3,End User Computing Ops,VDI related issue reported by user,229
INC202600103,2026-01-06 15:00:00,2026-01-06 15:49:00,Security,Phishing,Security Awareness,CI-SEC-AWARE-01,P3,Security Ops,Phishing related issue reported by user,49
INC202600104,2025-12-07 11:00:00,2025-12-07 13:48:00,Collaboration,Teams/Zoom,Collaboration Suite,CI-COLLAB-01,P3,Collaboration Ops,Teams/Zoom related issue reported by user,168
INC202600105,2025-11-11 10:00:00,2025-11-11 11:09:00,End User Computing,Endpoint Management,Endpoint Management,CI-EPM-01,P3,End User Computing Ops,Endpoint Management related issue reported by user,69
INC202600106,2025-11-28 09:00:00,2025-11-28 11:29:00,Identity & Access,MFA,MFA Platform,CI-MFA-01,P3,Identity & Access Ops,MFA related issue reported by user,149
INC202600107,2025-12-24 08:00:00,2025-12-24 11:47:00,End User Computing,Printers,Print Services,CI-PRINT-SRV-03,P3,End User Computing Ops,Printers related issue reported by user,227
INC202600108,2026-01-14 08:00:00,2026-01-14 10:00:00,Business Apps,HRIS,HRIS,CI-HRIS-01,P3,Business Apps Ops,HRIS related issue reported by user,120
INC202600109,2025-12-09 14:00:00,2025-12-09 16:49:00,Identity & Access,Password Reset,Password Services,CI-PWD-01,P3,Identity & Access Ops,Password Reset related issue reported by user,169
INC202600110,2026-01-17 11:00:00,2026-01-17 13:34:00,Identity & Access,SSO,SSO Platform,CI-SSO-01,P3,Identity & Access Ops,SSO related issue reported by user,154
INC202600111,2025-11-04 14:00:00,2025-11-04 16:13:00,Collaboration,Calendar,Calendar Service,CI-CAL-01,P3,Collaboration Ops,Calendar related issue reported by user,133
INC202600112,2025-11-22 15:00:00,2025-11-22 17:10:00,End User Computing,VDI,VDI Platform,CI-VDI-POOL-01,P3,End User Computing Ops,VDI related issue reported by user,130
INC202600113,2026-01-15 17:00:00,2026-01-15 19:19:00,Security,Phishing,Security Awareness,CI-SEC-AWARE-01,P2,Security Ops,Phishing related issue reported by user,139
INC202600114,2025-11-18 15:00:00,2025-11-18 16:53:00,End User Computing,Endpoint Management,Endpoint Management,CI-EPM-01,P3,End User Computing Ops,Endpoint Management related issue reported by user,113
INC202600115,2025-11-28 15:00:00,2025-11-28 17:07:00,Collaboration,Teams/Zoom,Collaboration Suite,CI-COLLAB-01,P3,Collaboration Ops,Teams/Zoom related issue reported by user,127
INC202600116,2025-12-06 14:00:00,2025-12-06 17:41:00,Collaboration,Email,Email Service,CI-MAIL-01,P3,Collaboration Ops,Email related issue reported by user,221
INC202600117,2026-01-09 08:00:00,2026-01-09 11:49:00,Collaboration,Email,Email Service,CI-MAIL-01,P3,Collaboration Ops,Email related issue reported by user,229
INC202600118,2026-01-23 08:00:00,2026-01-23 08:35:00,Network,VPN,VPN Service,CI-VPN-GW-01,P2,Network Ops,VPN related issue reported by user,35
INC202600119,2026-01-19 10:00:00,2026-01-19 10:59:00,End User Computing,Endpoint Management,Endpoint Management,CI-EPM-01,P3,End User Computing Ops,Endpoint Management related issue reported by user,59
INC202600120,2026-01-12 11:00:00,2026-01-12 13:04:00,Identity & Access,Password Reset,Password Services,CI-PWD-01,P3,Identity & Access Ops,Password Reset related issue reported by user,124
INC202600121,2025-11-22 17:00:00,2025-11-22 20:49:00,Business Apps,CRM,CRM,CI-CRM-01,P3,Business Apps Ops,CRM related issue reported by user,229
INC202600122,2025-11-21 12:00:00,2025-11-21 13:49:00,Network,DNS,DNS Service,CI-DNS-CORE-01,P1,Network Ops,DNS related issue reported by user,109
INC202600123,2026-01-13 18:00:00,2026-01-13 19:20:00,Identity & Access,MFA,MFA Platform,CI-MFA-01,P4,Identity & Access Ops,MFA related issue reported by user,80
INC202600124,2025-11-10 17:00:00,2025-11-10 20:28:00,Security,Account Lockout,SSO Platform,CI-SSO-01,P3,Security Ops,Account Lockout related issue reported by user,208
INC202600125,2025-12-09 18:00:00,2025-12-09 20:54:00,Business Apps,ERP,ERP,CI-ERP-01,P3,Business Apps Ops,ERP related issue reported by user,174
INC202600126,2025-11-06 13:00:00,2025-11-06 13:47:00,Business Apps,HRIS,HRIS,CI-HRIS-01,P3,Business Apps Ops,HRIS related issue reported by user,47
INC202600127,2026-01-04 18:00:00,2026-01-04 22:00:00,Collaboration,Email,Email Service,CI-MAIL-01,P4,Collaboration Ops,Email related issue reported by user,240
INC202600128,2026-01-02 09:00:00,2026-01-02 11:27:00,Identity & Access,MFA,MFA Platform,CI-MFA-01,P3,Identity & Access Ops,MFA related issue reported by user,147
INC202600129,2025-11-20 14:00:00,2025-11-20 17:16:00,End User Computing,VDI,VDI Platform,CI-VDI-POOL-01,P3,End User Computing Ops,VDI related issue reported by user,196
INC202600130,2025-12-05 17:00:00,2025-12-05 20:37:00,Business Apps,HRIS,HRIS,CI-HRIS-01,P3,Business Apps Ops,HRIS related issue reported by user,217
INC202600131,2026-01-15 12:00:00,2026-01-15 12:52:00,Collaboration,Email,Email Service,CI-MAIL-01,P4,Collaboration Ops,Email related issue reported by user,52
INC202600132,2025-12-06 15:00:00,2025-12-06 18:21:00,End User Computing,Printers,Print Services,CI-PRINT-SRV-03,P3,End User Computing Ops,Printers related issue reported by user,201
INC202600133,2025-12-19 13:00:00,2025-12-19 14:16:00,Network,WiFi,Corporate WiFi,CI-WIFI-CTRL-02,P4,Network Ops,WiFi related issue reported by user,76
INC202600134,2026-01-02 11:00:00,2026-01-02 14:02:00,Collaboration,Teams/Zoom,Collaboration Suite,CI-COLLAB-01,P3,Collaboration Ops,Teams/Zoom related issue reported by user,182
INC202600135,2026-01-29 12:00:00,2026-01-29 13:18:00,Business Apps,ERP,ERP,CI-ERP-01,P3,Business Apps Ops,ERP related issue reported by user,78
INC202600136,2025-11-11 11:00:00,2025-11-11 14:44:00,Security,EDR Alerts,EDR Platform,CI-EDR-01,P3,Security Ops,EDR Alerts related issue reported by user,224
INC202600137,2025-12-01 15:00:00,2025-12-01 18:52:00,Security,Account Lockout,SSO Platform,CI-SSO-01,P3,Security Ops,Account Lockout related issue reported by user,232
INC202600138,2025-11-03 09:00:00,2025-11-03 10:32:00,Collaboration,Email,Email Service,CI-MAIL-01,P3,Collaboration Ops,Email related issue reported by user,92
INC202600139,2025-12-10 18:00:00,2025-12-10 20:45:00,Business Apps,HRIS,HRIS,CI-HRIS-01,P3,Business Apps Ops,HRIS related issue reported by user,165
INC202600140,2025-12-15 14:00:00,2025-12-15 17:29:00,Security,Account Lockout,SSO Platform,CI-SSO-01,P3,Security Ops,Account Lockout related issue reported by user,209
INC202600141,2025-12-29 12:00:00,2025-12-29 15:34:00,Collaboration,Teams/Zoom,Collaboration Suite,CI-COLLAB-01,P3,Collaboration Ops,Teams/Zoom related issue reported by user,214
INC202600142,2025-11-25 13:00:00,2025-11-25 16:45:00,Network,DNS,DNS Service,CI-DNS-CORE-01,P3,Network Ops,DNS related issue reported by user,225
INC202600143,2026-01-28 10:00:00,2026-01-28 11:40:00,End User Computing,Endpoint Management,Endpoint Management,CI-EPM-01,P3,End User Computing Ops,Endpoint Management related issue reported by user,100
INC202600144,2026-01-15 16:00:00,2026-01-15 17:19:00,Business Apps,HRIS,HRIS,CI-HRIS-01,P4,Business Apps Ops,HRIS related issue reported by user,79
INC202600145,2025-12-08 11:00:00,2025-12-08 14:31:00,Collaboration,Email,Email Service,CI-MAIL-01,P3,Collaboration Ops,Email related issue reported by user,211
INC202600146,2026-01-08 10:00:00,2026-01-08 12:51:00,Collaboration,Email,Email Service,CI-MAIL-01,P4,Collaboration Ops,Email related issue reported by user,171
INC202600147,2025-12-08 10:00:00,2025-12-08 10:33:00,Security,EDR Alerts,EDR Platform,CI-EDR-01,P2,Security Ops,EDR Alerts related issue reported by user,33
INC202600148,2026-01-13 12:00:00,2026-01-13 13:17:00,Identity & Access,MFA,MFA Platform,CI-MFA-01,P3,Identity & Access Ops,MFA related issue reported by user,77
INC202600149,2025-11-07 12:00:00,2025-11-07 14:12:00,Identity & Access,SSO,SSO Platform,CI-SSO-01,P4,Identity & Access Ops,SSO related issue reported by user,132
INC202600150,2026-01-02 09:00:00,2026-01-02 10:08:00,Business Apps,CRM,CRM,CI-CRM-01,P3,Business Apps Ops,CRM related issue reported by user,68
INC202600151,2025-11-20 17:00:00,2025-11-20 18:00:00,Collaboration,Email,Email Service,CI-MAIL-01,P4,Collaboration Ops,Email related issue reported by user,60
INC202600152,2026-01-11 14:00:00,2026-01-11 15:27:00,Business Apps,CRM,CRM,CI-CRM-01,P3,Business Apps Ops,CRM related issue reported by user,87
INC202600153,2026-01-06 14:00:00,2026-01-06 17:00:00,Identity & Access,MFA,MFA Platform,CI-MFA-01,P3,Identity & Access Ops,MFA related issue reported by user,180
INC202600154,2025-12-25 12:00:00,2025-12-25 15:39:00,Business Apps,CRM,CRM,CI-CRM-01,P2,Business Apps Ops,CRM related issue reported by user,219
INC202600155,2025-11-13 11:00:00,2025-11-13 11:50:00,Security,Phishing,Security Awareness,CI-SEC-AWARE-01,P3,Security Ops,Phishing related issue reported by user,50
INC202600156,2025-11-21 11:00:00,2025-11-21 11:30:00,End User Computing,VDI,VDI Platform,CI-VDI-POOL-01,P2,End User Computing Ops,VDI related issue reported by user,30
INC202600157,2025-12-23 15:00:00,2025-12-23 15:38:00,Security,Account Lockout,SSO Platform,CI-SSO-01,P3,Security Ops,Account Lockout related issue reported by user,38
INC202600158,2025-11-30 12:00:00,2025-11-30 14:26:00,Security,EDR Alerts,EDR Platform,CI-EDR-01,P3,Security Ops,EDR Alerts related issue reported by user,146
INC202600159,2025-11-10 18:00:00,2025-11-10 21:10:00,End User Computing,Printers,Print Services,CI-PRINT-SRV-03,P3,End User Computing Ops,Printers related issue reported by user,190
INC202600160,2026-01-15 18:00:00,2026-01-15 19:27:00,End User Computing,Printers,Print Services,CI-PRINT-SRV-03,P2,End User Computing Ops,Printers related issue reported by user,87
INC202600161,2026-01-22 10:00:00,2026-01-22 11:12:00,Collaboration,Email,Email Service,CI-MAIL-01,P2,Collaboration Ops,Email related issue reported by user,72
INC202600162,2025-12-10 17:00:00,2025-12-10 19:22:00,Security,Account Lockout,SSO Platform,CI-SSO-01,P4,Security Ops,Account Lockout related issue reported by user,142
INC202600163,2025-11-16 15:00:00,2025-11-16 16:39:00,Security,EDR Alerts,EDR Platform,CI-EDR-01,P3,Security Ops,EDR Alerts related issue reported by user,99
